Project name,Country,Site,Latitude,Longitude,Exposure,Quadrat size,Reef type,Reef zone,Date,Start time,Tide,Visibility,Current,Depth,Management name,Management secondary name,Management year established,Management size,Governance,Estimated compliance,Management rules,Observer,Quadrat collection label,Site notes,Sampling event notes,Management notes,Benthic attribute,Growth form,Normal count,Pale count,0-20% bleached count,20-50% bleached count,50-80% bleached count,80-100% bleached count,Recently dead count,Observation notes
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Pavona,,16,3,2,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Leptastrea,,5,1,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Lobophyllia,,5,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Favites,,4,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Diploastrea,,2,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Astreopora,,3,0,1,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Acanthastrea,,3,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Pachyseris,,2,1,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Millepora,,5,0,0,0,0,0,0,
Fiji Bleaching 2019,Fiji,BU01N,-17.752,178.76999999999998,sheltered,1.50,fringing,back reef,2019-05-28,02:00:00,,,,6.0,Bureta tabu,,,0.0,community/local government,,Periodic Closure,Emily Darling,,,28C,,Fungia,,2,0,0,0,0,0,0,
